Model,Train MAE,Test MAE,Train RMSE,Test RMSE,Train R²,Test R²
Linear Regression,7.12747252050213,12.752107254153868,10.517063540093226,17.76592476810212,0.9368718515250323,0.9178050532762013
Decision Tree,1.8692867982446093,15.291629160081541,3.234752469320196,22.43948330685827,0.9940280500073592,0.8688720758411698
Random Forest,2.842218054333793,11.456785274801915,4.560990577912442,16.319653388515157,0.988127220384404,0.9306428335362991
XGBoost,2.8629369735717773,11.665863037109375,3.9081864096890797,16.6181452107069,0.9912826418876648,0.9280825257301331
LightGBM,4.182503051203113,11.739554290169556,6.090541094977323,16.85968662929328,0.9788287835636301,0.9259766940535027
SVR,6.501660363619161,17.034716127592617,12.803797386437218,28.444311379097282,0.9064353833922625,0.7893020407012483
KNN,1.1403130479838499e-06,18.50882165105178,3.0238101461833533e-06,26.622247351674687,0.9999999999999948,0.8154309361993166
Hybrid Ensemble,3.261946967115815,12.049329065816357,4.972047819825829,17.21549145181634,0.9858907265641468,0.922819367913364
